Title,Location,Company
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
Head of Data Analytics,"Toronto, ON",VersaPay
"Sr. Data Scientist, Machine Learning","Collingwood, ON",Deke Digital
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
Data Analyst,"Toronto, ON",Postmedia Network Inc.
"Technical Product Owner, Artificial Intelligence","Vancouver, BC",Finn.ai
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
Machine Learning Engineer,"Edmonton, AB",Granify
Principal AI Architect,"Toronto, ON",Birdseye
Machine Learning Team Lead,"Calgary, AB",AltaML Inc./Janalta Interactive Inc.
"Specialist, Web Analytics","Montréal, QC",SSENSE
Data Analyst (Paid Search),"Toronto, ON",Saatchi & Saatchi
Senior Financial and Data Analyst,"Mississauga, ON",OnPharm-United
"Development Manager, Reporting and Analytics","Markham, ON",Ceridian
Data Scientist,"Ottawa, ON",Larus Technologies
Data Analyst,"Toronto, ON",Postmedia Network Inc.
Head of Data Analytics,"Toronto, ON",VersaPay
"Sr. Data Scientist, Machine Learning","Collingwood, ON",Deke Digital
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
"Technical Product Owner, Artificial Intelligence","Vancouver, BC",Finn.ai
"Specialist, Web Analytics","Montréal, QC",SSENSE
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
Data Analyst (Paid Search),"Toronto, ON",Saatchi & Saatchi
Machine Learning Engineer,"Edmonton, AB",Granify
Principal AI Architect,"Toronto, ON",Birdseye
Machine Learning Team Lead,"Calgary, AB",AltaML Inc./Janalta Interactive Inc.
"Development Manager, Reporting and Analytics","Mississauga, ON",Ceridian
Senior Financial and Data Analyst,"Mississauga, ON",OnPharm-United
Data Scientist - Marketing,"Montréal, QC",MegaZebra GmbH
"Sr. Data Scientist, Machine Learning","Collingwood, ON",Deke Digital
Data Analyst,"Toronto, ON",Postmedia Network Inc.
Head of Data Analytics,"Toronto, ON",VersaPay
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
"Technical Product Owner, Artificial Intelligence","Vancouver, BC",Finn.ai
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
Machine Learning Engineer,"Edmonton, AB",Granify
Data Analyst (Paid Search),"Toronto, ON",Saatchi & Saatchi
Principal AI Architect,"Toronto, ON",Birdseye
Machine Learning Team Lead,"Calgary, AB",AltaML Inc./Janalta Interactive Inc.
"Specialist, Web Analytics","Montréal, QC",SSENSE
Senior Financial and Data Analyst,"Mississauga, ON",OnPharm-United
"Development Manager, Reporting and Analytics","Mississauga, ON",Ceridian
Data Analyst,"Toronto, ON",Postmedia Network Inc.
Lead Machine Learning Engineer,"Toronto, ON",Patriot One Technologies
"Sr. Data Scientist, Machine Learning","Collingwood, ON",Deke Digital
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
Head of Data Analytics,"Toronto, ON",VersaPay
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
"Specialist, Web Analytics","Montréal, QC",SSENSE
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
Data Analyst (Paid Search),"Toronto, ON",Saatchi & Saatchi
Machine Learning Engineer,"Edmonton, AB",Granify
Machine Learning Team Lead,"Calgary, AB",AltaML Inc./Janalta Interactive Inc.
"Technical Product Owner, Artificial Intelligence","Vancouver, BC",Finn.ai
Senior Financial and Data Analyst,"Mississauga, ON",OnPharm-United
Principal AI Architect,"Toronto, ON",Birdseye
"Development Manager, Reporting and Analytics","Mississauga, ON",Ceridian
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
Head of Data Analytics,"Toronto, ON",VersaPay
"Sr. Data Scientist, Machine Learning","Collingwood, ON",Deke Digital
Data Analyst,"Toronto, ON",Postmedia Network Inc.
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
Machine Learning Engineer,"Edmonton, AB",Granify
"Development Manager, Reporting and Analytics","Markham, ON",Ceridian
"Specialist, Web Analytics","Montréal, QC",SSENSE
Machine Learning Team Lead,"Calgary, AB",AltaML Inc./Janalta Interactive Inc.
"Technical Product Owner, Artificial Intelligence","Vancouver, BC",Finn.ai
Senior Financial and Data Analyst,"Mississauga, ON",OnPharm-United
Data Analyst (Paid Search),"Toronto, ON",Saatchi & Saatchi
Principal AI Architect,"Toronto, ON",Birdseye
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
Data Analyst,"Toronto, ON",Postmedia Network Inc.
Lead Machine Learning Engineer,"Toronto, ON",Patriot One Technologies
Data Scientist,"Ottawa, ON",Larus Technologies
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
"Specialist, Web Analytics","Montréal, QC",SSENSE
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
Senior Financial and Data Analyst,"Mississauga, ON",OnPharm-United
Machine Learning Engineer,"Edmonton, AB",Granify
Data Analyst (Paid Search),"Toronto, ON",Saatchi & Saatchi
"Development Manager, Reporting and Analytics","Mississauga, ON",Ceridian
Machine Learning Team Lead,"Calgary, AB",AltaML Inc./Janalta Interactive Inc.
"Technical Product Owner, Artificial Intelligence","Vancouver, BC",Finn.ai
Principal AI Architect,"Toronto, ON",Birdseye
